date,open,high,low,close,volume,target,sma_7,sma_30,volatility,momentum_3d
2025-07-15,119841.17,119940.83,115736.92,117758.09,32018.46083,1,116982.50857142858,108946.35066666667,0.035079013330727694,0.0028793220916367712
2025-07-16,117758.08,120063.84,117017.29,118630.43,17039.90851,1,118039.14285714286,109340.88066666666,0.025871260808600166,-0.0038309083201945038
2025-07-17,118630.44,120998.71,117453.57,119177.56,15728.57651,0,118491.65142857144,109828.42699999998,0.029883898264222903,-0.005537495542016435
2025-07-18,119177.56,120820.71,116812.76,117924.84,19924.66266,0,118548.39142857143,110263.02900000001,0.033630072641191944,0.0014160385923378538
2025-07-19,117924.84,118499.9,117277.34,117840.0,6635.80306,0,118608.39142857143,110702.40933333334,0.010367281397201791,-0.006662961602684869
2025-07-20,117840.01,118856.8,116467.02,117265.12,12962.92889,1,118348.17428571428,111167.98033333333,0.02027986929057456,-0.016046980656425625
2025-07-21,117265.11,119676.73,116515.0,117380.36,17107.33128,1,117996.62857142858,111676.65866666667,0.026962239663613465,-0.004617178195874594
2025-07-22,117380.36,120247.8,116128.0,119954.42,20959.12973,0,118310.39,112309.677,0.03509786475352438,0.017943143245078064
2025-07-23,119954.43,120090.0,117301.0,118755.99,14558.75083,0,118328.32714285715,112757.07899999998,0.023250496042538822,0.012713669674324413
2025-07-24,118756.0,119450.0,117103.1,118340.99,15806.89043,0,118208.81714285714,113165.67866666666,0.019762369901310202,0.008183907427102843
2025-07-25,118340.98,118451.57,114723.16,117614.31,38406.34873,1,118164.45571428571,113508.13633333333,0.03150565425434202,-0.019508326579379065
2025-07-26,117614.31,118297.35,117138.38,117919.99,6991.67206,1,118175.88285714285,113873.90066666667,0.009853988005371125,-0.007039644905490694
2025-07-27,117919.99,119766.65,117825.5,119415.55,9328.30919,0,118483.08714285714,114286.166,0.0164615855208264,0.009080201205009297
2025-07-28,119415.56,119800.0,117427.5,118062.32,13961.74754,0,118580.51000000001,114645.01699999999,0.019867595144217386,0.003809145332740682
2025-07-29,118062.32,119273.36,116950.75,117950.76,15137.93445,0,118294.27285714285,114964.81133333335,0.019672745715991355,0.0002609396422097454
2025-07-30,117950.75,118792.0,115796.23,117840.3,15586.73631,0,118163.45999999999,115321.27133333334,0.02539848199354395,-0.013191330609790719
2025-07-31,117840.29,118922.45,115500.0,115764.08,17010.0073,0,117795.33,115657.36933333334,0.029043122687495062,-0.01946632930811465
2025-08-01,115764.07,116052.0,112722.58,113297.93,24487.10206,0,117178.7042857143,115805.64699999998,0.028760391717395545,-0.03944722357024233
2025-08-02,113297.92,114063.49,112003.0,112546.35,11507.33428,1,116411.04142857142,115904.366,0.01818647685676847,-0.04492478379637521
2025-08-03,112546.35,114799.97,111920.0,114208.8,7397.76046,1,115667.22,116111.85133333334,0.025589190586811576,-0.013434910034269665
2025-08-04,114208.81,115720.0,114107.6,115055.03,9667.67916,0,115237.60714285714,116340.415,0.014118000178795264,0.015508668163663808
2025-08-05,115055.03,115127.81,112650.0,114129.75,12042.79078,1,114691.74857142857,116504.612,0.021535868531779946,0.01406887029210635
2025-08-06,114129.75,115716.0,113355.13,114992.27,9761.15318,1,114284.88714285714,116728.923,0.020685842210291315,0.006859979266045979
2025-08-07,114992.27,117621.0,114259.0,117472.01,13468.56263,0,114528.87714285713,117013.89066666667,0.02923674782661478,0.02100716500617139
2025-08-08,117472.02,117630.0,115878.71,116674.74,10045.31278,0,115011.27857142857,117195.24900000001,0.014908145786545542,0.022299093794562852
2025-08-09,116674.74,117944.05,116299.13,116462.25,9514.13144,1,115570.69285714287,117210.324,0.014098338680677567,0.012783294042286508
2025-08-10,116462.25,119311.11,116460.63,119294.01,14322.77073,0,116297.15142857142,117269.20233333335,0.02447557041015433,0.015510077677227008
2025-08-11,119294.27,122335.16,118050.11,118686.0,26494.33429,1,116815.86142857141,117311.40233333335,0.03591999850453842,0.017238178546616023
2025-08-12,118686.0,120324.43,118207.47,120134.08,16720.10893,1,117673.62285714285,117346.317,0.01783664459161141,0.03152807025452464
2025-08-13,120134.09,123667.79,118920.92,123306.43,23210.07102,0,118861.36,117461.82533333333,0.03951309740640642,0.03363471476899793
2025-08-14,123306.44,124474.0,117180.0,118295.09,27980.947586,0,118978.94285714287,117479.72533333332,0.05915343918776667,-0.003293648787557113
2025-08-15,118295.09,119216.82,116803.99,117342.05,13623.33874,1,119074.27285714286,117436.77933333334,0.02039670454623266,-0.023240948779896575
2025-08-16,117342.04,117898.99,117143.98,117380.66,6393.68117,1,119205.47428571428,117376.88266666667,0.006434266866333749,-0.04805726676216304
2025-08-17,117380.66,118575.0,117172.21,117405.01,5898.64192,0,118935.61714285715,117359.555,0.011950776218160587,-0.007524234522328865
2025-08-18,117405.01,117543.75,114640.14,116227.05,17745.93954,0,118584.33857142857,117305.79,0.02473156809918078,-0.00950213499764152
2025-08-19,116227.05,116725.69,112732.58,112872.94,18065.47424,1,117547.03285714285,117159.384,0.0343561158955682,-0.03840257841453609
2025-08-20,112872.95,114615.38,112380.0,114271.24,15636.34194,0,116256.29142857144,117055.74666666666,0.019804390688823184,-0.02669196144184982
